ID	Name	Class	Rarity	Effect Text	Flavor Text
0	Ordinary Jewelry	Neutral	C	"Fanfare: Gain 0-10 cookies.
Sell: Gain 5 cookies."	"A random piece of jewelry [Player] stole from their mother's cabinet. [Player] didn't know what it was, and they don't care."
1	Blackmail	Neutral	C	"Activate: Select a player and an item they revealed.
Fanfare: The selected item is sent to the discard pile.
Action: The selected player loses 0-10 cookies."	Crime never pays.
2	Scandal Tabloid	Neutral	C	"Activate: Select a player and a bot.
Fanfare: If the selected bot is backing the selected player, cancel that backing.
Action: The selected player loses 0-1 favor with each bot."	It doesn't matter if it's a lie as long as you get what you want.
3	[Player]'s poop	Neutral	C	Sell: Lose 10 cookies.	"Hey, [Player] needed to fill their deck somehow."
4	Diamond	Neutral	R	"Activate: Select a bot.
Fanfare: Gain 2 favor with the selected bot.
Sell: Gain 50 cookies."	
5	Slave	Live	C	"Acquire: Gain 1 favor with Del. Lose 1 favor with all other bots.
Action: Gain 15 cookies.
Sell: Gain 10 cookies."	
6	Caged Bird	Live	C	"Activate: Select a Bot.
Fanfare: Gain 2 favor with the selected bot.
Sell: Gain 20 cookies."	
7	Mercenary	Live	R	"Acquire: Gain 1 favor with Del. Lose 1 favor with Nabla.
Action: Gain 30 cookies.
Sell: Gain 20 cookies."	
8	Venomous Serpent	Live	R	"Activate: Select a bot.
Fanfare: Gain 4 favor with the selected bot and lose 1 favor with a random bot.
Sell: Gain 40 cookies."	
9	Spy	Live	SR	"Activate: Select a player.
Fanfare: Silent. Steal 50 cookies from the selected player.
Action: Silent. Discard this item.
Sell: Gain 40 cookies."	
10	Tiger	Live	SR	"Activate: Select a player.
Fanfare: Gain 5 favor with the selected bot.
Sell: Gain 60 cookies."	
11	Phantom Thief	Live	SSR	"Fanfare: Silent. Steal 50 cookies from each player. Mill 1.
Presence: If selected as a target for ""Select a player"" and X is 0, Discard this item. X is selected from 0-2."	
12	Phoenix	Live	SSR	"Action: Put a ""Phoenix Feather"" in your discard pile.
Sell: Gain 200 cookies."	
13	Phoenix Feather	Live	T	"Sell: Gain 50 cookies. If you didn't have ""Pheonix"" revealed, put a ""Pheonix"" in your discard pile. Remove this item from play."	
14	Farming Sickle	Tool	C	"Action: Gain X cookies. X is equal to your total number of items divided by 2.
Sell: Gain 5 cookies."	
